N,I,Error,time
1000,0.526696,-2.669615e-02,0.006998
10000,0.501718,-1.718283e-03,0.007101
100000,0.501420,-1.420379e-03,0.013796
1000000,0.499979,2.142787e-05,2.199485
10000000,0.500294,-2.939701e-04,12.135990
100000000,0.500094,-9.381771e-05,12.151378
1000000000,0.499997,3.427267e-06,12.338395
10000000000,0.499999,1.102686e-06,12.504649
