N,I,Error,time
1000,0.503511,3.510892e-03,0.261427
10000,0.495528,4.472375e-03,0.240317
100000,0.499752,2.481937e-04,0.239731
1000000,0.499752,2.478957e-04,0.243438
10000000,0.499925,7.474422e-05,0.248481
100000000,0.500047,4.661083e-05,0.272387
1000000000,0.499956,4.392862e-05,0.560261
10000000000,0.499989,1.102686e-05,0.699585
