N,I,Error,time
1000,0.495579,4.421204e-03,0.269466
10000,0.499120,8.802116e-04,0.242549
100000,0.500164,-1.636147e-04,0.241924
1000000,0.499572,4.284680e-04,0.249388
10000000,0.500014,-1.382828e-05,0.252144
100000000,0.499975,2.500415e-05,0.282839
1000000000,0.500021,-2.050400e-05,0.595018
10000000000,0.500013,-1.287460e-05,0.734066
