N,I,Error,time
1000,0.503511,3.511310e-03,0.265354
10000,0.495528,4.472315e-03,0.242565
100000,0.499741,2.587438e-04,0.247534
1000000,0.499534,4.662573e-04,0.248085
10000000,0.499930,6.973743e-05,0.247726
100000000,0.500034,3.361702e-05,0.284514
1000000000,0.500016,1.585484e-05,0.597360
10000000000,0.499990,9.953976e-06,0.738947
