x	 u	 u_exact
0.194526	-0.944001	0.938790
0.195503	-0.946290	0.940888
0.196481	-0.948398	0.942951
0.197458	-0.950278	0.944978
0.198436	-0.952159	0.946969
0.199413	-0.954218	0.948925
0.200391	-0.956295	0.950845
0.201369	-0.958068	0.952729
0.202346	-0.959781	0.954577
0.203324	-0.961600	0.956389
0.204301	-0.963565	0.958165
0.205279	-0.965286	0.959905
0.206256	-0.966827	0.961608
0.207234	-0.968453	0.963276
0.208211	-0.970222	0.964907
0.209189	-0.971910	0.966501
0.210166	-0.973296	0.968059
0.211144	-0.974742	0.969581
0.212121	-0.976313	0.971066
0.213099	-0.977904	0.972515
0.214076	-0.979203	0.973926
0.215054	-0.980438	0.975301
0.216031	-0.981850	0.976640
0.217009	-0.983279	0.977941
0.217986	-0.984521	0.979205
0.218964	-0.985557	0.980433
0.219941	-0.986797	0.981623
0.220919	-0.988078	0.982777
0.221896	-0.989207	0.983893
0.222874	-0.990120	0.984973
0.223851	-0.991134	0.986015
0.224829	-0.992306	0.987020
0.225806	-0.993277	0.987988
0.226784	-0.994087	0.988918
0.227761	-0.994896	0.989811
0.228739	-0.995918	0.990667
0.229717	-0.996773	0.991486
0.230694	-0.997419	0.992267
0.231672	-0.998098	0.993010
0.232649	-0.998912	0.993717
0.233627	-0.999681	0.994385
0.234604	-1.000148	0.995016
0.235582	-1.000689	0.995610
0.236559	-1.001338	0.996166
0.237537	-1.001952	0.996685
0.238514	-1.002307	0.997166
0.239492	-1.002648	0.997609
0.240469	-1.003191	0.998015
0.241447	-1.003609	0.998383
0.242424	-1.003854	0.998713
0.243402	-1.004026	0.999006
0.244379	-1.004415	0.999261
0.245357	-1.004703	0.999478
0.246334	-1.004755	0.999657
0.247312	-1.004834	0.999799
0.248289	-1.005022	0.999904
0.249267	-1.005194	0.999970
0.250244	-1.005064	0.999999
0.251222	-1.005009	0.999990
0.252199	-1.005069	0.999943
0.253177	-1.005036	0.999859
0.254154	-1.004802	0.999736
0.255132	-1.004559	0.999577
0.256109	-1.004523	0.999379
0.257087	-1.004286	0.999144
0.258065	-1.003904	0.998871
0.259042	-1.003552	0.998560
0.260020	-1.003329	0.998212
0.260997	-1.002969	0.997826
0.261975	-1.002375	0.997402
0.262952	-1.001954	0.996941
0.263930	-1.001548	0.996442
0.264907	-1.001009	0.995906
0.265885	-1.000292	0.995332
0.266862	-0.999712	0.994720
