x	 u	 u_exact
0.182796	-0.917825	-0.912166
0.183773	-0.920120	-0.914666
0.184751	-0.922696	-0.917131
0.185728	-0.925033	-0.919562
0.186706	-0.927342	-0.921958
0.187683	-0.929811	-0.924320
0.188661	-0.931931	-0.926646
0.189638	-0.934313	-0.928938
0.190616	-0.936510	-0.931194
0.191593	-0.938607	-0.933415
0.192571	-0.940920	-0.935601
0.193548	-0.942874	-0.937752
0.194526	-0.945041	-0.939868
0.195503	-0.947114	-0.941948
0.196481	-0.948991	-0.943992
0.197458	-0.951137	-0.946001
0.198436	-0.952944	-0.947974
0.199413	-0.954870	-0.949911
0.200391	-0.956829	-0.951813
0.201369	-0.958493	-0.953678
0.202346	-0.960442	-0.955508
0.203324	-0.962133	-0.957302
0.204301	-0.963797	-0.959059
0.205279	-0.965634	-0.960781
0.206256	-0.967115	-0.962466
0.207234	-0.968823	-0.964114
0.208211	-0.970427	-0.965727
0.209189	-0.971829	-0.967303
0.210166	-0.973505	-0.968842
0.211144	-0.974858	-0.970345
0.212121	-0.976278	-0.971812
0.213099	-0.977798	-0.973241
0.214076	-0.978981	-0.974634
0.215054	-0.980422	-0.975990
0.216031	-0.981705	-0.977310
0.217009	-0.982827	-0.978592
0.217986	-0.984210	-0.979838
0.218964	-0.985259	-0.981047
0.219941	-0.986391	-0.982218
0.220919	-0.987615	-0.983353
0.221896	-0.988501	-0.984450
0.222874	-0.989640	-0.985511
0.223851	-0.990641	-0.986534
0.224829	-0.991452	-0.987520
0.225806	-0.992537	-0.988468
0.226784	-0.993312	-0.989380
0.227761	-0.994109	-0.990254
0.228739	-0.995062	-0.991091
0.229717	-0.995657	-0.991890
0.230694	-0.996452	-0.992652
0.231672	-0.997212	-0.993376
0.232649	-0.997693	-0.994063
0.233627	-0.998455	-0.994713
0.234604	-0.999001	-0.995325
0.235582	-0.999425	-0.995899
0.236559	-1.000100	-0.996436
0.237537	-1.000446	-0.996935
0.238514	-1.000843	-0.997397
0.239492	-1.001380	-0.997821
0.240469	-1.001563	-0.998208
0.241447	-1.001934	-0.998556
0.242424	-1.002298	-0.998867
0.243402	-1.002359	-0.999141
