nproc,sigma_1,elapsed_time,time_comput,time_comm,time_bcast,time_allreduce,time_reduce
1, 2.750379e-01,0.000035,0.000020,0.000012,0.000006,0.000004,0.000002
2, 2.750379e-01,0.000072,0.000004,0.000065,0.000029,0.000030,0.000005
4, 2.750379e-01,0.000161,0.000004,0.000154,0.000036,0.000063,0.000055
8, 2.750379e-01,0.000207,0.000004,0.000198,0.000045,0.000138,0.000015
16, 2.750379e-01,0.000353,0.000005,0.000344,0.000054,0.000189,0.000101
32, 2.761174e-01,0.066245,0.000005,0.066236,0.000072,0.065994,0.000171
64, 2.800350e-01,0.160392,0.000007,0.160381,0.050843,0.095674,0.013864
