nproc,sigma_1,elapsed_time,time_comput,time_comm,time_bcast,time_allreduce,time_reduce
1, 0.000000e+00,0.000014,0.000002,0.000008,0.000002,0.000004,0.000002
2, 0.000000e+00,0.000073,0.000002,0.000068,0.000033,0.000029,0.000005
4, 0.000000e+00,0.000164,0.000003,0.000158,0.000036,0.000054,0.000068
8, 0.000000e+00,0.000192,0.000003,0.000186,0.000046,0.000115,0.000025
16, 0.000000e+00,0.000347,0.000003,0.000341,0.000059,0.000234,0.000048
32, 0.000000e+00,0.066472,0.000003,0.066465,0.000072,0.060988,0.005404
64, 0.000000e+00,0.206430,0.000004,0.206422,0.056237,0.141737,0.008448
