nproc,sigma_1,elapsed_time,time_comput,time_comm,time_bcast,time_allreduce,time_reduce
1, 2.886671e-01,8.542056,8.542008,0.000043,0.000002,0.000029,0.000012
2, 2.886660e-01,4.378075,4.374292,0.003778,0.000030,0.003577,0.000170
4, 2.886320e-01,2.252509,2.192822,0.059682,0.000037,0.059554,0.000091
8, 2.886495e-01,1.150662,1.139406,0.011252,0.000048,0.001245,0.009960
16, 2.886585e-01,0.589411,0.566933,0.022469,0.000059,0.018821,0.003589
32, 2.886586e-01,0.373928,0.306544,0.067379,0.000069,0.067057,0.000253
64, 2.886464e-01,0.343267,0.153417,0.189846,0.063470,0.100157,0.026220
