nproc,mu,sigma,elapsed_time,time_comput,time_comm,time_gather,time_reduce
1, 0.000000, 0.000000,0.000013,0.000002,0.000008,0.000005,0.000003
2, -nan, -nan,0.000061,0.000010,0.000050,0.000042,0.000009
4, -nan, -nan,0.000149,0.000012,0.000137,0.000131,0.000006
8, -nan, -nan,0.000184,0.000011,0.000172,0.000162,0.000011
16, -nan, -nan,0.000333,0.000012,0.000321,0.000307,0.000014
32, -nan, -nan,0.034269,0.000012,0.034256,0.034240,0.000017
64, -nan, -nan,0.078868,0.000015,0.078851,0.078793,0.000058
