nproc,mu,sigma,elapsed_time,time_comput,time_comm,time_gather,time_reduce
1, 0.501317, 0.284874,0.000015,0.000004,0.000008,0.000005,0.000003
2, 0.499251, 0.292983,0.000062,0.000014,0.000048,0.000040,0.000008
4, 0.431199, 0.285240,0.000174,0.000011,0.000162,0.000158,0.000005
8, 0.601541, 0.299931,0.000231,0.000011,0.000219,0.000208,0.000011
16, 0.418625, 0.298986,0.000283,0.000012,0.000270,0.000257,0.000014
32, 0.538033, 0.292354,0.082773,0.000013,0.082759,0.082746,0.000013
64, 0.541238, 0.290985,0.067445,0.000014,0.067430,0.067379,0.000051
