nproc,mu,sigma,elapsed_time,time_comput,time_comm,time_gather,time_reduce
1, 0.499991, 0.288667,12.714386,12.714340,0.000041,0.000036,0.000005
2, 0.500011, 0.288672,6.298310,6.286276,0.012033,0.012017,0.000016
4, 0.499985, 0.288668,3.127522,3.127307,0.000213,0.000202,0.000012
8, 0.500020, 0.288683,1.608049,1.580217,0.027831,0.027783,0.000048
16, 0.500006, 0.288673,0.837359,0.799299,0.038059,0.038047,0.000012
32, 0.500112, 0.288691,0.477441,0.433156,0.044285,0.044266,0.000019
64, 0.500458, 0.288676,0.397885,0.216180,0.181704,0.181663,0.000041
