nproc,mu,sigma,elapsed_time,time_comput,time_comm,time_gather,time_reduce
1, 0.500009, 0.288646,0.188482,0.081369,0.000018,0.000013,0.000004
2, 0.499999, 0.288701,0.190648,0.081731,0.000430,0.000419,0.000011
4, 0.500151, 0.288670,0.183461,0.079713,0.000145,0.000136,0.000008
8, 0.500003, 0.288687,0.195911,0.084736,0.000900,0.000859,0.000041
16, 0.499921, 0.288673,0.209746,0.090276,0.000503,0.000491,0.000012
32, 0.500171, 0.288681,0.244595,0.094120,0.026884,0.026871,0.000013
64, 0.500458, 0.288676,0.284568,0.093900,0.066924,0.066894,0.000031
