N,I,Error,time
1000,0.503511,3.510833e-03,0.000076
10000,0.495529,4.471302e-03,0.000105
100000,0.499748,2.517998e-04,0.000521
1000000,0.499753,2.472699e-04,0.003971
10000000,0.499930,7.036328e-05,0.032269
100000000,0.500046,4.553795e-05,0.049266
1000000000,0.499958,4.249811e-05,0.396032
10000000000,0.499988,1.198053e-05,0.564957
