N,nproc,uexact,umc,error,time
1000,64,0.500000,0.530708,-3.070781e-02,0.067946
10000,64,0.500000,0.501987,-1.986785e-03,0.058091
100000,64,0.500000,0.510586,-1.058613e-02,0.058752
1000000,64,0.500000,0.496436,3.564466e-03,0.059377
10000000,64,0.500000,0.500678,-6.777496e-04,0.075126
100000000,64,0.500000,0.500446,-4.464582e-04,0.208262
1000000000,64,0.500000,0.499932,6.835146e-05,1.565844
10000000000,64,0.500000,0.500019,-1.889905e-05,15.667943
