N,I,Error,time
1000,0.492719,7.281244e-03,0.000072
10000,0.446684,5.331644e-02,0.000081
100000,0.450297,4.970336e-02,0.000167
1000000,0.459142,4.085755e-02,0.000947
10000000,0.468523,3.147691e-02,0.008392
100000000,0.463582,3.641823e-02,0.045994
1000000000,0.465380,3.462005e-02,0.430067
10000000000,0.481465,1.853535e-02,0.608597
