N,nproc,uexact,umc,error,time
4194304,1,0.500000,0.499912,8.791759e-05,0.391923
8388608,2,0.500000,0.499912,8.791759e-05,0.395469
16777216,4,0.500000,0.499912,8.791759e-05,0.400452
33554432,8,0.500000,0.499912,8.791759e-05,0.420985
67108864,16,0.500000,0.499912,8.791759e-05,0.452579
134217728,32,0.500000,0.499912,8.791747e-05,0.500167
268435456,64,0.500000,0.499912,8.791759e-05,0.517740
