N,nproc,uexact,umc,error,time
1000,1,0.500000,0.523175,-2.317526e-02,0.000158
10000,2,0.500000,0.497846,2.153661e-03,0.000623
100000,4,0.500000,0.495675,4.324982e-03,0.002777
1000000,8,0.500000,0.500476,-4.755077e-04,0.013120
10000000,16,0.500000,0.500547,-5.470050e-04,0.068747
100000000,32,0.500000,0.499961,3.944404e-05,0.384600
1000000000,64,0.500000,0.499932,6.835146e-05,1.804358
