N,I,Error,time_s,time_c
1000,0.503511,3.510773e-03,0.254112,0.000069
10000,0.495528,4.472464e-03,0.229776,0.000103
100000,0.499750,2.500117e-04,0.230523,0.000478
1000000,0.499752,2.475083e-04,0.272630,0.003927
10000000,0.499925,7.525086e-05,0.303388,0.008306
100000000,0.500047,4.684925e-05,0.362660,0.032943
1000000000,0.499955,4.497170e-05,1.147351,0.318628
10000000000,0.499988,1.221895e-05,1.684971,0.454320
