N,I,Error,time_s,time_c
1000,0.503511,3.511250e-03,0.234347,0.000026
10000,0.495528,4.472166e-03,0.210904,0.000036
100000,0.499741,2.588630e-04,0.217321,0.000102
1000000,0.499534,4.663169e-04,0.218109,0.000452
10000000,0.499728,2.720356e-04,0.219669,0.003686
100000000,0.500043,4.297495e-05,0.250930,0.015637
1000000000,0.499994,5.513430e-06,0.503150,0.110046
10000000000,0.500009,9.238720e-06,0.710412,0.260657
