N,I,Error,time
1000,0.503511,3.510952e-03,0.267571
10000,0.495528,4.471868e-03,0.264468
100000,0.499750,2.495646e-04,0.265251
1000000,0.499751,2.486706e-04,0.270722
10000000,0.500065,6.467104e-05,0.303388
100000000,0.500005,5.006790e-06,0.363145
1000000000,0.503911,3.910780e-03,1.199815
10000000000,0.500030,2.956390e-05,1.582426
