N,nproc,uexact,umc,time
1000,64,0.500000,0.530708,0.054137
10000,64,0.500000,0.501987,0.065319
100000,64,0.500000,0.510623,0.061090
1000000,64,0.500000,0.496435,0.061191
10000000,64,0.500000,0.500678,0.077533
100000000,64,0.500000,0.500446,0.211332
1000000000,64,0.500000,0.499932,1.580029
10000000000,64,0.500000,0.500019,15.730502
