nproc, N, u_error, gtime
1,1024,1.581122e+00,8.468118e-03
2,2048,1.581137e+00,1.827703e-02
4,4096,1.581138e+00,4.644112e-02
8,8192,1.581139e+00,1.261130e-01
16,16384,1.581139e+00,3.961857e-01
32,32768,1.581139e+00,1.625790e+00
64,65536,1.581139e+00,5.786698e+00
