nproc, N, u_error, gtime
1,1024,6.613848e-03,1.640579e-02
2,1024,6.613848e-03,1.419950e-02
4,1024,6.613848e-03,1.020734e-02
8,1024,6.613848e-03,1.627398e-02
16,1024,6.613848e-03,3.188003e-02
32,1024,6.613848e-03,1.008998e-01
64,1024,6.613848e-03,2.228390e-01
