nproc, N, u_error, gtime
1,1024,1.581122e+00,8.499376e-03
2,2048,1.581137e+00,1.836104e-02
4,4096,1.581138e+00,4.540329e-02
8,8192,1.581139e+00,1.261438e-01
16,16384,1.581139e+00,3.979778e-01
32,32768,1.581139e+00,1.574617e+00
64,65536,1.581139e+00,5.802492e+00
