nproc, N, u_error, gtime
1,1024,6.613848e-03,1.668164e-02
2,1024,6.613848e-03,9.810869e-03
4,1024,6.613848e-03,9.905173e-03
8,1024,6.613848e-03,1.605672e-02
16,1024,6.613848e-03,3.152519e-02
32,1024,6.613848e-03,9.690783e-02
64,1024,6.613848e-03,1.969531e-01
