x	 u	 u_exact
0.182796	-0.913476	-0.912166
0.183773	-0.915903	-0.914666
0.184751	-0.918390	-0.917131
0.185728	-0.920796	-0.919562
0.186706	-0.923145	-0.921958
0.187683	-0.925542	-0.924320
0.188661	-0.927796	-0.926646
0.189638	-0.930102	-0.928938
0.190616	-0.932345	-0.931194
0.191593	-0.934508	-0.933415
0.192571	-0.936735	-0.935601
0.193548	-0.938817	-0.937752
0.194526	-0.940932	-0.939868
0.195503	-0.943017	-0.941948
0.196481	-0.944990	-0.943992
0.197458	-0.947040	-0.946001
0.198436	-0.948958	-0.947974
0.199413	-0.950872	-0.949911
0.200391	-0.952800	-0.951813
0.201369	-0.954585	-0.953678
0.202346	-0.956445	-0.955508
0.203324	-0.958209	-0.957302
0.204301	-0.959915	-0.959059
0.205279	-0.961679	-0.960781
0.206256	-0.963288	-0.962466
0.207234	-0.964942	-0.964114
0.208211	-0.966559	-0.965727
0.209189	-0.968057	-0.967303
0.210166	-0.969641	-0.968842
0.211144	-0.971093	-0.970345
0.212121	-0.972524	-0.971812
0.213099	-0.973991	-0.973241
0.214076	-0.975300	-0.974634
0.215054	-0.976674	-0.975990
0.216031	-0.977988	-0.977310
0.217009	-0.979195	-0.978592
0.217986	-0.980489	-0.979838
0.218964	-0.981641	-0.981047
0.219941	-0.982779	-0.982218
0.220919	-0.983953	-0.983353
0.221896	-0.984964	-0.984450
0.222874	-0.986041	-0.985511
0.223851	-0.987064	-0.986534
0.224829	-0.987968	-0.987520
0.225806	-0.988965	-0.988468
0.226784	-0.989829	-0.989380
0.227761	-0.990655	-0.990254
0.228739	-0.991541	-0.991091
0.229717	-0.992257	-0.991890
0.230694	-0.993017	-0.992652
0.231672	-0.993764	-0.993376
0.232649	-0.994359	-0.994063
0.233627	-0.995044	-0.994713
0.234604	-0.995638	-0.995325
0.235582	-0.996136	-0.995899
0.236559	-0.996728	-0.996436
0.237537	-0.997169	-0.996935
0.238514	-0.997587	-0.997397
0.239492	-0.998063	-0.997821
0.240469	-0.998363	-0.998208
0.241447	-0.998707	-0.998556
0.242424	-0.999048	-0.998867
0.243402	-0.999225	-0.999141
0.244379	-0.999489	-0.999376
0.245357	-0.999686	-0.999574
0.246334	-0.999755	-0.999735
0.247312	-0.999929	-0.999857
0.248289	-0.999980	-0.999942
0.249267	-0.999954	-0.999989
0.250244	-1.000025	-0.999999
0.251222	-0.999934	-0.999971
0.252199	-0.999820	-0.999905
0.253177	-0.999776	-0.999801
0.254154	-0.999549	-0.999659
0.255132	-0.999349	-0.999480
0.256109	-0.999181	-0.999263
0.257087	-0.998829	-0.999009
0.258065	-0.998540	-0.998717
0.259042	-0.998244	-0.998387
0.260020	-0.997773	-0.998019
0.260997	-0.997392	-0.997614
0.261975	-0.996965	-0.997171
0.262952	-0.996381	-0.996690
0.263930	-0.995903	-0.996172
0.264907	-0.995347	-0.995617
0.265885	-0.994653	-0.995023
0.266862	-0.994074	-0.994393
0.267840	-0.993391	-0.993724
0.268817	-0.992590	-0.993019
0.269795	-0.991906	-0.992276
0.270772	-0.991099	-0.991495
0.271750	-0.990190	-0.990677
0.272727	-0.989399	-0.989821
0.273705	-0.988472	-0.988929
0.274682	-0.987454	-0.987999
0.275660	-0.986555	-0.987031
0.276637	-0.985510	-0.986027
0.277615	-0.984383	-0.984985
0.278592	-0.983374	-0.983906
0.279570	-0.982217	-0.982790
0.280547	-0.980977	-0.981637
0.281525	-0.979858	-0.980447
0.282502	-0.978591	-0.979220
0.283480	-0.977238	-0.977956
0.284457	-0.976007	-0.976655
0.285435	-0.974636	-0.975317
0.286413	-0.973166	-0.973942
0.287390	-0.971823	-0.972531
0.288368	-0.970352	-0.971083
0.289345	-0.968764	-0.969598
0.290323	-0.967307	-0.968077
0.291300	-0.965740	-0.966519
0.292278	-0.964035	-0.964925
0.293255	-0.962459	-0.963295
0.294233	-0.960802	-0.961628
0.295210	-0.958981	-0.959924
0.296188	-0.957281	-0.958185
0.297165	-0.955537	-0.956409
0.298143	-0.953605	-0.954598
0.299120	-0.951775	-0.952750
0.300098	-0.949945	-0.950867
0.301075	-0.947911	-0.948947
0.302053	-0.945944	-0.946992
0.303030	-0.944027	-0.945001
0.304008	-0.941901	-0.942974
0.304985	-0.939793	-0.940912
0.305963	-0.937781	-0.938814
0.306940	-0.935577	-0.936681
0.307918	-0.933326	-0.934513
0.308895	-0.931207	-0.932309
0.309873	-0.928938	-0.930070
0.310850	-0.926551	-0.927796
0.311828	-0.924307	-0.925487
0.312805	-0.921981	-0.923143
0.313783	-0.919475	-0.920765
0.314761	-0.917085	-0.918351
0.315738	-0.914701	-0.915903
0.316716	-0.912103	-0.913421
0.317693	-0.909553	-0.910903
0.318671	-0.907093	-0.908352
0.319648	-0.904433	-0.905766
0.320626	-0.901722	-0.903146
0.321603	-0.899156	-0.900492
0.322581	-0.896458	-0.897805
0.323558	-0.893608	-0.895083
0.324536	-0.890896	-0.892327
0.325513	-0.888164	-0.889538
0.326491	-0.885218	-0.886715
0.327468	-0.882332	-0.883859
0.328446	-0.879540	-0.880969
0.329423	-0.876548	-0.878047
0.330401	-0.873489	-0.875091
0.331378	-0.870584	-0.872102
0.332356	-0.867578	-0.869080
0.333333	-0.864388	-0.866025
0.334311	-0.861312	-0.862938
0.335288	-0.858282	-0.859818
0.336266	-0.855031	-0.856666
0.337243	-0.851763	-0.853481
0.338221	-0.848645	-0.850265
0.339198	-0.845393	-0.847016
0.340176	-0.841974	-0.843735
0.341153	-0.838686	-0.840422
0.342131	-0.835431	-0.837078
0.343109	-0.831952	-0.833702
0.344086	-0.828459	-0.830295
0.345064	-0.825120	-0.826856
0.346041	-0.821659	-0.823386
0.347019	-0.818015	-0.819885
0.347996	-0.814491	-0.816353
0.348974	-0.811032	-0.812791
0.349951	-0.807357	-0.809197
0.350929	-0.803620	-0.805574
0.351906	-0.800050	-0.801919
0.352884	-0.796416	-0.798235
0.353861	-0.792565	-0.794520
0.354839	-0.788774	-0.790776
0.355816	-0.785117	-0.787001
0.356794	-0.781291	-0.783197
0.357771	-0.777311	-0.779364
0.358749	-0.773473	-0.775501
0.359726	-0.769689	-0.771608
0.360704	-0.765683	-0.767687
0.361681	-0.761610	-0.763737
0.362659	-0.757709	-0.759757
0.363636	-0.753777	-0.755750
0.364614	-0.749614	-0.751713
0.365591	-0.745464	-0.747649
0.366569	-0.741482	-0.743556
0.367546	-0.737399	-0.739435
0.368524	-0.733102	-0.735286
0.369501	-0.728877	-0.731109
0.370479	-0.724798	-0.726905
0.371457	-0.720572	-0.722674
0.372434	-0.716156	-0.718415
0.373412	-0.711849	-0.714129
0.374389	-0.707667	-0.709816
0.375367	-0.703312	-0.705476
0.376344	-0.698787	-0.701110
0.377322	-0.694388	-0.696717
0.378299	-0.690103	-0.692298
0.379277	-0.685634	-0.687853
0.380254	-0.681002	-0.683382
0.381232	-0.676500	-0.678885
0.382209	-0.672115	-0.674363
0.383187	-0.667550	-0.669815
0.384164	-0.662813	-0.665242
0.385142	-0.658196	-0.660644
0.386119	-0.653713	-0.656020
0.387097	-0.649071	-0.651372
0.388074	-0.644233	-0.646700
0.389052	-0.639489	-0.642003
0.390029	-0.634905	-0.637282
0.391007	-0.630203	-0.632537
0.391984	-0.625279	-0.627768
0.392962	-0.620396	-0.622975
0.393939	-0.615698	-0.618159
0.394917	-0.610951	-0.613319
0.395894	-0.605965	-0.608457
0.396872	-0.600940	-0.603571
0.397849	-0.596103	-0.598663
0.398827	-0.591310	-0.593732
0.399804	-0.586299	-0.588779
0.400782	-0.581149	-0.583803
0.401760	-0.576142	-0.578805
0.402737	-0.571276	-0.573786
0.403715	-0.566273	-0.568745
0.404692	-0.561048	-0.563682
0.405670	-0.555854	-0.558599
0.406647	-0.550857	-0.553494
0.407625	-0.545863	-0.548368
0.408602	-0.540641	-0.543222
0.409580	-0.535294	-0.538055
0.410557	-0.530094	-0.532868
0.411535	-0.525047	-0.527660
0.412512	-0.519885	-0.522433
0.413490	-0.514490	-0.517186
0.414467	-0.509074	-0.511920
0.415445	-0.503853	-0.506634
0.416422	-0.498715	-0.501329
0.417400	-0.493395	-0.496005
0.418377	-0.487872	-0.490663
0.419355	-0.482397	-0.485302
0.420332	-0.477124	-0.479923
0.421310	-0.471888	-0.474525
0.422287	-0.466444	-0.469110
0.423265	-0.460819	-0.463677
0.424242	-0.455269	-0.458227
0.425220	-0.449921	-0.452759
0.426197	-0.444600	-0.447274
0.427175	-0.439073	-0.441772
0.428152	-0.433360	-0.436254
0.429130	-0.427708	-0.430719
0.430108	-0.422261	-0.425168
0.431085	-0.416875	-0.419601
0.432063	-0.411308	-0.414018
0.433040	-0.405528	-0.408419
0.434018	-0.399751	-0.402805
0.434995	-0.394169	-0.397176
0.435973	-0.388718	-0.391532
0.436950	-0.383156	-0.385873
0.437928	-0.377359	-0.380200
0.438905	-0.371461	-0.374512
0.439883	-0.365697	-0.368810
0.440860	-0.360131	-0.363094
0.441838	-0.354589	-0.357364
0.442815	-0.348855	-0.351621
0.443793	-0.342910	-0.345865
0.444770	-0.336950	-0.340096
0.445748	-0.331169	-0.334313
0.446725	-0.325562	-0.328519
0.447703	-0.319931	-0.322711
0.448680	-0.314091	-0.316892
0.449658	-0.308055	-0.311061
0.450635	-0.302017	-0.305218
