x, y, u
13.131313, -19.595960, 0.624668
13.535354, -19.595960, 0.239340
13.939394, -19.595960, 0.069224
14.343434, -19.595960, 0.018060
14.747475, -19.595960, 0.004453
15.151515, -19.595960, 0.001046
15.555556, -19.595960, 0.000234
15.959596, -19.595960, 0.000050
16.363636, -19.595960, 0.000010
16.767677, -19.595960, 0.000002
17.171717, -19.595960, 0.000000
17.575758, -19.595960, -0.000001
17.979798, -19.595960, 0.000003
18.383838, -19.595960, -0.000012
18.787879, -19.595960, 0.000034
19.191919, -19.595960, -0.000074
19.595960, -19.595960, 0.000102
20.000000, -19.595960, -0.000055
-20.000000, -19.191919, 0.000002
-19.595960, -19.191919, 0.000010
-19.191919, -19.191919, 0.000047
-18.787879, -19.191919, 0.000220
-18.383838, -19.191919, 0.000977
-17.979798, -19.191919, 0.004134
-17.575758, -19.191919, 0.016628
-17.171717, -19.191919, 0.062746
-16.767677, -19.191919, 0.211472
-16.363636, -19.191919, 0.546410
-15.959596, -19.191919, 0.847045
-15.555556, -19.191919, 0.957860
-15.151515, -19.191919, 0.988712
-14.747475, -19.191919, 0.996875
-14.343434, -19.191919, 0.998963
-13.939394, -19.191919, 0.999390
-13.535354, -19.191919, 0.998697
-13.131313, -19.191919, 0.995599
-12.727273, -19.191919, 0.985431
-12.323232, -19.191919, 0.955980
-11.919192, -19.191919, 0.880480
-11.515152, -19.191919, 0.716346
-11.111111, -19.191919, 0.446517
-10.707071, -19.191919, 0.195983
-10.303030, -19.191919, 0.091303
-9.898990, -19.191919, 0.038039
-9.494949, -19.191919, 0.014748
-9.090909, -19.191919, 0.004314
-8.686869, -19.191919, 0.001391
-8.282828, -19.191919, 0.000525
-7.878788, -19.191919, 0.000078
-7.474747, -19.191919, 0.000013
-7.070707, -19.191919, -0.000001
-6.666667, -19.191919, 0.000010
-6.262626, -19.191919, 0.000072
-5.858586, -19.191919, -0.000152
-5.454545, -19.191919, 0.000184
-5.050505, -19.191919, -0.000162
-4.646465, -19.191919, 0.000115
-4.242424, -19.191919, -0.000065
-3.838384, -19.191919, 0.000029
-3.434343, -19.191919, -0.000008
-3.030303, -19.191919, -0.000001
-2.626263, -19.191919, 0.000002
-2.222222, -19.191919, -0.000002
-1.818182, -19.191919, 0.000001
-1.414141, -19.191919, -0.000000
-1.010101, -19.191919, -0.000000
-0.606061, -19.191919, 0.000001
-0.202020, -19.191919, -0.000002
0.202020, -19.191919, 0.000003
0.606061, -19.191919, -0.000003
1.010101, -19.191919, -0.000003
1.414141, -19.191919, 0.000020
1.818182, -19.191919, -0.000049
2.222222, -19.191919, 0.000087
2.626263, -19.191919, -0.000117
3.030303, -19.191919, 0.000117
3.434343, -19.191919, -0.000071
3.838384, -19.191919, 0.000005
4.242424, -19.191919, 0.000035
4.646465, -19.191919, 0.000006
5.050505, -19.191919, 0.000065
5.454545, -19.191919, 0.000082
5.858586, -19.191919, 0.000586
6.262626, -19.191919, 0.002160
6.666667, -19.191919, 0.006306
7.070707, -19.191919, 0.020401
7.474747, -19.191919, 0.053160
7.878788, -19.191919, 0.124317
8.282828, -19.191919, 0.285367
8.686869, -19.191919, 0.581271
9.090909, -19.191919, 0.811851
9.494949, -19.191919, 0.929008
9.898990, -19.191919, 0.976415
10.303030, -19.191919, 0.992948
10.707071, -19.191919, 0.998023
11.111111, -19.191919, 0.999278
11.515152, -19.191919, 0.999136
11.919192, -19.191919, 0.997436
12.323232, -19.191919, 0.990736
12.727273, -19.191919, 0.964849
13.131313, -19.191919, 0.864151
13.535354, -19.191919, 0.571605
13.939394, -19.191919, 0.217679
14.343434, -19.191919, 0.061961
14.747475, -19.191919, 0.015680
15.151515, -19.191919, 0.003721
15.555556, -19.191919, 0.000839
15.959596, -19.191919, 0.000180
16.363636, -19.191919, 0.000037
16.767677, -19.191919, 0.000007
17.171717, -19.191919, 0.000001
17.575758, -19.191919, 0.000001
17.979798, -19.191919, -0.000003
18.383838, -19.191919, 0.000010
18.787879, -19.191919, -0.000029
19.191919, -19.191919, 0.000063
