nproc,mu,sigma,elapsed_time,time_comput,time_comm,time_gather,time_reduce
1, 0.506425, 0.283134,0.000061,0.000023,0.000008,0.000005,0.000003
2, 0.512869, 0.286928,0.000114,0.000034,0.000053,0.000044,0.000009
4, 0.497344, 0.288553,0.000169,0.000032,0.000106,0.000101,0.000005
8, 0.506734, 0.287999,0.000265,0.000031,0.000204,0.000158,0.000046
16, 0.484525, 0.288422,0.000414,0.000033,0.000352,0.000339,0.000013
32, 0.491405, 0.288082,0.035127,0.000039,0.035059,0.035044,0.000015
64, 0.503645, 0.287839,0.060350,0.000034,0.060286,0.060252,0.000034
