nproc,sigma_1,elapsed_time,time_comput,time_comm,time_bcast,time_allreduce,time_reduce
1, 2.886671e-01,8.653138,2.212106,0.000040,0.000002,0.000027,0.000011
2, 2.886660e-01,4.542251,1.153771,0.004935,0.000033,0.004706,0.000196
4, 2.886320e-01,2.243398,0.573061,0.003606,0.000038,0.003480,0.000088
8, 2.886495e-01,1.128020,0.248268,0.003865,0.000043,0.000770,0.003052
16, 2.886585e-01,0.579493,0.110700,0.010498,0.000055,0.010318,0.000125
32, 2.886586e-01,0.439446,0.084412,0.109501,0.000063,0.108100,0.001338
64, 2.886464e-01,0.360659,0.029940,0.203500,0.058293,0.139108,0.006099
