nproc,sigma_1,elapsed_time,time_comput,time_comm,time_bcast,time_allreduce,time_reduce
1, 2.830185e-01,0.000051,0.000012,0.000009,0.000003,0.000004,0.000003
2, 2.830185e-01,0.000102,0.000011,0.000063,0.000029,0.000029,0.000005
4, 2.830185e-01,0.000257,0.000012,0.000214,0.000036,0.000121,0.000058
8, 2.830185e-01,0.000232,0.000012,0.000188,0.000041,0.000130,0.000018
16, 2.830185e-01,0.000335,0.000013,0.000282,0.000056,0.000187,0.000039
32, 2.830908e-01,0.061105,0.000013,0.061053,0.000066,0.052924,0.008063
64, 2.833663e-01,0.164380,0.000018,0.164329,0.067510,0.084244,0.012575
