nproc, N, u_error, gtime
1,1024,1.414222e+00,1.669488e-02
2,1024,6.505174e-03,9.711696e-03
4,1024,6.505174e-03,6.752370e-03
8,1024,6.505174e-03,4.941686e-03
16,1024,6.505174e-03,4.076735e-03
32,1024,6.505174e-03,4.951397e-02
64,1024,6.505174e-03,4.387115e-02
