x, y, u
0.000000, 0.000000, 0.000000
0.010101, 0.000000, 0.000000
0.020202, 0.000000, 0.000000
0.030303, 0.000000, 0.000000
0.040404, 0.000000, 0.000000
0.050505, 0.000000, 0.000000
0.060606, 0.000000, 0.000000
0.070707, 0.000000, 0.000000
0.080808, 0.000000, 0.000000
0.090909, 0.000000, 0.000000
0.101010, 0.000000, 0.000000
0.111111, 0.000000, 0.000000
0.121212, 0.000000, 0.000000
0.131313, 0.000000, 0.000000
0.141414, 0.000000, 0.000000
0.151515, 0.000000, 0.000000
0.161616, 0.000000, 0.000000
0.171717, 0.000000, 0.000000
0.181818, 0.000000, 0.000000
0.191919, 0.000000, 0.000000
0.202020, 0.000000, 0.000000
0.212121, 0.000000, 0.000000
0.222222, 0.000000, 0.000000
0.232323, 0.000000, 0.000000
0.242424, 0.000000, 0.000000
0.252525, 0.000000, 0.000000
0.262626, 0.000000, 0.000000
0.272727, 0.000000, 0.000000
0.282828, 0.000000, 0.000000
0.292929, 0.000000, 0.000000
0.303030, 0.000000, 0.000000
0.313131, 0.000000, 0.000000
0.323232, 0.000000, 0.000000
0.333333, 0.000000, 0.000000
0.343434, 0.000000, 0.000000
0.353535, 0.000000, 0.000000
0.363636, 0.000000, 0.000000
0.373737, 0.000000, 0.000000
0.383838, 0.000000, 0.000000
0.393939, 0.000000, 0.000000
0.404040, 0.000000, 0.000000
0.414141, 0.000000, 0.000000
0.424242, 0.000000, 0.000000
0.434343, 0.000000, 0.000000
0.444444, 0.000000, 0.000000
0.454545, 0.000000, 0.000000
0.464646, 0.000000, 0.000000
0.474747, 0.000000, 0.000000
0.484848, 0.000000, 0.000000
0.494949, 0.000000, 0.000002
0.505051, 0.000000, -0.001039
0.515152, 0.000000, 0.000000
0.525253, 0.000000, 0.000000
0.535354, 0.000000, 0.000000
0.545455, 0.000000, 0.000000
0.555556, 0.000000, 0.000000
0.565657, 0.000000, 0.000000
0.575758, 0.000000, 0.000000
0.585859, 0.000000, 0.000000
0.595960, 0.000000, 0.000000
0.606061, 0.000000, 0.000000
0.616162, 0.000000, 0.000000
0.626263, 0.000000, 0.000000
0.636364, 0.000000, 0.000000
0.646465, 0.000000, 0.000000
0.656566, 0.000000, 0.000000
0.666667, 0.000000, 0.000000
0.676768, 0.000000, 0.000000
0.686869, 0.000000, 0.000000
0.696970, 0.000000, 0.000000
0.707071, 0.000000, 0.000000
0.717172, 0.000000, 0.000000
0.727273, 0.000000, 0.000000
0.737374, 0.000000, 0.000000
0.747475, 0.000000, 0.000000
0.757576, 0.000000, 0.000000
0.767677, 0.000000, 0.000000
0.777778, 0.000000, 0.000000
0.787879, 0.000000, 0.000000
0.797980, 0.000000, 0.000000
0.808081, 0.000000, 0.000000
0.818182, 0.000000, 0.000000
0.828283, 0.000000, 0.000000
0.838384, 0.000000, 0.000000
0.848485, 0.000000, 0.000000
0.858586, 0.000000, 0.000000
0.868687, 0.000000, 0.000000
0.878788, 0.000000, 0.000000
0.888889, 0.000000, 0.000000
0.898990, 0.000000, 0.000000
0.909091, 0.000000, 0.000000
0.919192, 0.000000, 0.000000
0.929293, 0.000000, 0.000000
0.939394, 0.000000, 0.000000
0.949495, 0.000000, 0.000000
0.959596, 0.000000, 0.000000
0.969697, 0.000000, 0.000000
0.979798, 0.000000, 0.000000
0.989899, 0.000000, 0.000000
1.000000, 0.000000, 0.000000
0.000000, 0.010101, 0.000000
0.010101, 0.010101, 0.003953
0.020202, 0.010101, 0.007889
0.030303, 0.010101, 0.011794
0.040404, 0.010101, 0.015650
0.050505, 0.010101, 0.019441
0.060606, 0.010101, 0.023153
0.070707, 0.010101, 0.026770
0.080808, 0.010101, 0.030277
0.090909, 0.010101, 0.033660
0.101010, 0.010101, 0.036905
0.111111, 0.010101, 0.039998
0.121212, 0.010101, 0.042926
0.131313, 0.010101, 0.045678
0.141414, 0.010101, 0.048242
0.151515, 0.010101, 0.050606
0.161616, 0.010101, 0.052762
0.171717, 0.010101, 0.054701
0.181818, 0.010101, 0.056413
0.191919, 0.010101, 0.057891
0.202020, 0.010101, 0.059130
0.212121, 0.010101, 0.060122
0.222222, 0.010101, 0.060865
0.232323, 0.010101, 0.061354
0.242424, 0.010101, 0.061587
0.252525, 0.010101, 0.061562
0.262626, 0.010101, 0.061278
0.272727, 0.010101, 0.060736
0.282828, 0.010101, 0.059937
0.292929, 0.010101, 0.058883
0.303030, 0.010101, 0.057578
0.313131, 0.010101, 0.056027
0.323232, 0.010101, 0.054234
0.333333, 0.010101, 0.052205
0.343434, 0.010101, 0.049947
0.353535, 0.010101, 0.047469
0.363636, 0.010101, 0.044779
0.373737, 0.010101, 0.041886
0.383838, 0.010101, 0.038800
0.393939, 0.010101, 0.035533
0.404040, 0.010101, 0.032095
0.414141, 0.010101, 0.028499
0.424242, 0.010101, 0.024758
0.434343, 0.010101, 0.020883
0.444444, 0.010101, 0.016890
0.454545, 0.010101, 0.012790
0.464646, 0.010101, 0.008600
0.474747, 0.010101, 0.004331
0.484848, 0.010101, 0.000000
0.494949, 0.010101, 0.000009
0.505051, 0.010101, -0.004157
0.515152, 0.010101, -0.007794
0.525253, 0.010101, -0.011555
0.535354, 0.010101, -0.015323
0.545455, 0.010101, -0.019056
0.555556, 0.010101, -0.022728
0.565657, 0.010101, -0.026321
0.575758, 0.010101, -0.029817
0.585859, 0.010101, -0.033202
0.595960, 0.010101, -0.036462
0.606061, 0.010101, -0.039581
0.616162, 0.010101, -0.042547
0.626263, 0.010101, -0.045346
0.636364, 0.010101, -0.047968
0.646465, 0.010101, -0.050400
0.656566, 0.010101, -0.052632
0.666667, 0.010101, -0.054655
0.676768, 0.010101, -0.056459
0.686869, 0.010101, -0.058037
0.696970, 0.010101, -0.059382
0.707071, 0.010101, -0.060487
0.717172, 0.010101, -0.061348
0.727273, 0.010101, -0.061960
0.737374, 0.010101, -0.062321
0.747475, 0.010101, -0.062427
0.757576, 0.010101, -0.062279
0.767677, 0.010101, -0.061876
0.777778, 0.010101, -0.061218
0.787879, 0.010101, -0.060309
0.797980, 0.010101, -0.059150
0.808081, 0.010101, -0.057746
0.818182, 0.010101, -0.056101
0.828283, 0.010101, -0.054221
0.838384, 0.010101, -0.052113
0.848485, 0.010101, -0.049784
0.858586, 0.010101, -0.047244
0.868687, 0.010101, -0.044500
0.878788, 0.010101, -0.041564
0.888889, 0.010101, -0.038445
0.898990, 0.010101, -0.035155
0.909091, 0.010101, -0.031707
0.919192, 0.010101, -0.028112
0.929293, 0.010101, -0.024384
0.939394, 0.010101, -0.020536
0.949495, 0.010101, -0.016583
0.959596, 0.010101, -0.012538
0.969697, 0.010101, -0.008416
0.979798, 0.010101, -0.004232
0.989899, 0.010101, 0.000000
1.000000, 0.010101, 0.000000
0.000000, 0.020202, 0.000000
0.010101, 0.020202, 0.007889
0.020202, 0.020202, 0.015746
0.030303, 0.020202, 0.023539
0.040404, 0.020202, 0.031235
0.050505, 0.020202, 0.038803
0.060606, 0.020202, 0.046212
0.070707, 0.020202, 0.053431
0.080808, 0.020202, 0.060431
0.090909, 0.020202, 0.067182
0.101010, 0.020202, 0.073658
0.111111, 0.020202, 0.079831
0.121212, 0.020202, 0.085676
0.131313, 0.020202, 0.091169
0.141414, 0.020202, 0.096285
0.151515, 0.020202, 0.101005
0.161616, 0.020202, 0.105309
0.171717, 0.020202, 0.109177
0.181818, 0.020202, 0.112594
0.191919, 0.020202, 0.115545
0.202020, 0.020202, 0.118017
0.212121, 0.020202, 0.119998
0.222222, 0.020202, 0.121481
0.232323, 0.020202, 0.122457
0.242424, 0.020202, 0.122921
0.252525, 0.020202, 0.122871
0.262626, 0.020202, 0.122304
0.272727, 0.020202, 0.121222
0.282828, 0.020202, 0.119628
0.292929, 0.020202, 0.117525
0.303030, 0.020202, 0.114921
0.313131, 0.020202, 0.111824
0.323232, 0.020202, 0.108245
0.333333, 0.020202, 0.104196
0.343434, 0.020202, 0.099690
0.353535, 0.020202, 0.094744
0.363636, 0.020202, 0.089374
0.373737, 0.020202, 0.083600
0.383838, 0.020202, 0.077442
0.393939, 0.020202, 0.070920
0.404040, 0.020202, 0.064059
0.414141, 0.020202, 0.056882
0.424242, 0.020202, 0.049414
0.434343, 0.020202, 0.041681
0.444444, 0.020202, 0.033710
0.454545, 0.020202, 0.025528
0.464646, 0.020202, 0.017164
0.474747, 0.020202, 0.008645
0.484848, 0.020202, 0.000000
0.494949, 0.020202, 0.000016
0.505051, 0.020202, -0.007779
0.515152, 0.020202, -0.015417
0.525253, 0.020202, -0.023021
0.535354, 0.020202, -0.030570
0.545455, 0.020202, -0.038029
0.555556, 0.020202, -0.045361
0.565657, 0.020202, -0.052532
0.575758, 0.020202, -0.059512
0.585859, 0.020202, -0.066268
0.595960, 0.020202, -0.072774
0.606061, 0.020202, -0.078999
0.616162, 0.020202, -0.084919
0.626263, 0.020202, -0.090507
0.636364, 0.020202, -0.095739
0.646465, 0.020202, -0.100593
0.656566, 0.020202, -0.105049
0.666667, 0.020202, -0.109086
0.676768, 0.020202, -0.112687
0.686869, 0.020202, -0.115836
0.696970, 0.020202, -0.118520
0.707071, 0.020202, -0.120726
0.717172, 0.020202, -0.122444
0.727273, 0.020202, -0.123666
0.737374, 0.020202, -0.124386
0.747475, 0.020202, -0.124599
0.757576, 0.020202, -0.124303
0.767677, 0.020202, -0.123498
0.777778, 0.020202, -0.122186
0.787879, 0.020202, -0.120370
0.797980, 0.020202, -0.118057
0.808081, 0.020202, -0.115254
0.818182, 0.020202, -0.111971
0.828283, 0.020202, -0.108219
0.838384, 0.020202, -0.104012
0.848485, 0.020202, -0.099365
0.858586, 0.020202, -0.094294
0.868687, 0.020202, -0.088818
0.878788, 0.020202, -0.082957
0.888889, 0.020202, -0.076732
0.898990, 0.020202, -0.070167
0.909091, 0.020202, -0.063284
0.919192, 0.020202, -0.056109
0.929293, 0.020202, -0.048668
0.939394, 0.020202, -0.040988
0.949495, 0.020202, -0.033097
0.959596, 0.020202, -0.025024
0.969697, 0.020202, -0.016797
0.979798, 0.020202, -0.008446
0.989899, 0.020202, 0.000000
1.000000, 0.020202, 0.000000
0.000000, 0.030303, 0.000000
0.010101, 0.030303, 0.011794
0.020202, 0.030303, 0.023539
0.030303, 0.030303, 0.035188
0.040404, 0.030303, 0.046692
0.050505, 0.030303, 0.058005
0.060606, 0.030303, 0.069081
0.070707, 0.030303, 0.079872
0.080808, 0.030303, 0.090336
0.090909, 0.030303, 0.100429
0.101010, 0.030303, 0.110110
0.111111, 0.030303, 0.119338
0.121212, 0.030303, 0.128075
0.131313, 0.030303, 0.136285
0.141414, 0.030303, 0.143935
0.151515, 0.030303, 0.150990
0.161616, 0.030303, 0.157423
0.171717, 0.030303, 0.163206
0.181818, 0.030303, 0.168314
0.191919, 0.030303, 0.172725
0.202020, 0.030303, 0.176420
0.212121, 0.030303, 0.179383
0.222222, 0.030303, 0.181599
0.232323, 0.030303, 0.183058
0.242424, 0.030303, 0.183752
0.252525, 0.030303, 0.183676
0.262626, 0.030303, 0.182829
0.272727, 0.030303, 0.181212
0.282828, 0.030303, 0.178828
0.292929, 0.030303, 0.175685
0.303030, 0.030303, 0.171793
0.313131, 0.030303, 0.167163
0.323232, 0.030303, 0.161813
0.333333, 0.030303, 0.155760
0.343434, 0.030303, 0.149025
0.353535, 0.030303, 0.141631
0.363636, 0.030303, 0.133604
0.373737, 0.030303, 0.124972
0.383838, 0.030303, 0.115766
0.393939, 0.030303, 0.106017
0.404040, 0.030303, 0.095761
0.414141, 0.030303, 0.085032
0.424242, 0.030303, 0.073868
0.434343, 0.030303, 0.062309
0.444444, 0.030303, 0.050393
0.454545, 0.030303, 0.038162
0.464646, 0.030303, 0.025658
0.474747, 0.030303, 0.012923
0.484848, 0.030303, 0.000000
0.494949, 0.030303, 0.000024
0.505051, 0.030303, -0.011510
0.515152, 0.030303, -0.022977
