nproc,sigma_1,elapsed_time,time_comput,time_comm,time_bcast,time_allreduce,time_reduce
1, 2.886464e-01,0.123672,0.123646,0.000020,0.000002,0.000011,0.000007
2, 2.886464e-01,0.131638,0.131383,0.000251,0.000028,0.000186,0.000037
4, 2.886464e-01,0.128009,0.127802,0.000203,0.000037,0.000054,0.000112
8, 2.886464e-01,0.137959,0.135502,0.002452,0.000049,0.002277,0.000126
16, 2.886464e-01,0.144221,0.142170,0.002047,0.000067,0.001840,0.000139
32, 2.886464e-01,0.214942,0.152476,0.062461,0.000064,0.062296,0.000102
64, 2.886464e-01,0.348152,0.153215,0.194933,0.071870,0.103352,0.019711
