nproc,mu,sigma,elapsed_time,time_comput,time_comm,time_gather,time_reduce
1, 0.500009, 0.288646,0.188378,0.188355,0.000017,0.000013,0.000004
2, 0.499999, 0.288701,0.188001,0.187927,0.000073,0.000062,0.000011
4, 0.500151, 0.288670,0.182916,0.182782,0.000133,0.000125,0.000008
8, 0.500003, 0.288687,0.195725,0.194588,0.001135,0.001098,0.000037
16, 0.499921, 0.288673,0.209588,0.207879,0.001708,0.001697,0.000012
32, 0.500171, 0.288681,0.248369,0.216585,0.031783,0.031770,0.000013
64, 0.500458, 0.288676,0.316581,0.216475,0.100105,0.100065,0.000040
