N,I,Error,time
1000,0.509168,-9.167671e-03,0.530325
10000,0.503762,-3.762007e-03,0.478951
100000,0.502290,-2.289712e-03,0.495083
1000000,0.500122,-1.218319e-04,2.715040
10000000,0.500400,-4.001260e-04,12.857991
100000000,0.500099,-9.894371e-05,12.882599
1000000000,0.503907,-3.906906e-03,13.095413
10000000000,0.505632,-5.631626e-03,13.181053
