N,I,Error,time
1000,0.509168,-9.167850e-03,0.490968
10000,0.503763,-3.762722e-03,0.488191
100000,0.502277,-2.276599e-03,0.498037
1000000,0.499891,1.085997e-04,2.676246
10000000,0.500084,-8.362532e-05,12.627797
100000000,0.500088,-8.773804e-05,12.623507
1000000000,0.499994,6.258488e-06,12.854058
