N,I,Error,time
1000,0.509168,-9.167910e-03,0.570864
10000,0.503763,-3.762662e-03,0.520622
100000,0.502276,-2.276361e-03,0.542219
1000000,0.499892,1.077056e-04,3.313246
10000000,0.500083,-8.332729e-05,12.625324
100000000,0.500088,-8.761883e-05,12.620677
1000000000,0.499994,6.467104e-06,12.834715
10000000000,0.500014,-1.353025e-05,12.988195
