N,I,Error,time
1000,0.509168,-9.167850e-03,0.489411
10000,0.503763,-3.762603e-03,0.491688
100000,0.502276,-2.276421e-03,0.490755
1000000,0.499891,1.087785e-04,2.691027
10000000,0.500083,-8.338690e-05,12.616001
100000000,0.500088,-8.755922e-05,12.640737
1000000000,0.499994,6.139278e-06,12.831030
10000000000,0.500014,-1.388788e-05,12.970360
