N,I,Error,time
1000,0.509168,-9.167850e-03,0.875314
10000,0.503762,-3.762484e-03,0.811943
100000,0.502276,-2.276003e-03,0.900688
1000000,0.499892,1.083016e-04,8.575251
10000000,0.500084,-8.386374e-05,32.344456
100000000,0.500089,-8.863211e-05,13.151555
1000000000,0.499994,5.632639e-06,13.369971
10000000000,0.500014,-1.370907e-05,14.718003
