N,uexact,umc,time
1000,0.500000,0.530708,0.066823
10000,0.500000,0.501987,0.062528
100000,0.500000,0.510623,0.058783
1000000,0.500000,0.496435,0.061668
10000000,0.500000,0.500678,0.076504
100000000,0.500000,0.500446,0.197258
1000000000,0.500000,0.499932,1.563035
10000000000,0.500000,0.500019,15.729416
