N,nproc,uexact,umc,time
268435456,1,0.500000,0.499996,25.588818
268435456,2,0.500000,0.500028,12.697145
268435456,4,0.500000,0.500098,6.248330
268435456,8,0.500000,0.500001,3.364865
268435456,16,0.500000,0.499998,1.810864
268435456,32,0.500000,0.500005,0.977300
268435456,64,0.500000,0.499912,0.522477
